2022-09-11 19:23:56,621 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:24:02,225 | INFO | apscheduler.scheduler | MainThread | Scheduler started
2022-09-11 19:24:02,227 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-11 19:24:02,236 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-11 19:24:07,253 | INFO | werkzeug | MainThread |  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-09-11 19:25:01,817 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:25:01,817 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:25:01,936 | INFO | apscheduler.scheduler | MainThread | Scheduler started
2022-09-11 19:25:01,940 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-11 19:25:01,953 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-11 19:25:03,106 | INFO | werkzeug | MainThread |  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-09-11 19:26:16,213 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:26:16,401 | INFO | apscheduler.scheduler | MainThread | Scheduler started
2022-09-11 19:26:16,401 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-11 19:26:16,407 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-11 19:26:17,581 | INFO | werkzeug | MainThread |  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-09-11 19:26:30,579 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:26:30,579 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:26:30,697 | INFO | apscheduler.scheduler | MainThread | Scheduler started
2022-09-11 19:26:30,697 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-11 19:26:30,704 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-11 19:26:32,113 | INFO | werkzeug | MainThread |  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-09-11 19:31:53,874 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:31:54,022 | INFO | apscheduler.scheduler | MainThread | Scheduler started
2022-09-11 19:31:54,022 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-11 19:31:54,034 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-11 19:31:55,068 | INFO | werkzeug | MainThread |  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-09-11 19:33:01,671 | INFO | my_app | Thread-1 | Logger created and ready!
2022-09-11 19:33:02,317 | INFO | my_app | Thread-1 | Logger created and ready!
